事件,重要性,下一次公布日期,预测值,前值
美国CPI月度数据,非常重要,2023/8/10,——,0%
美国非农就业人数,非常重要,2023/8/4,——,18.7万人
美国非农失业率,非常重要,2023/8/4,——,3.60%
美联储决议报告,非常重要,2023/9/21,——,——
美国核心PCE物价指数,重要,——,——,——
美国初请失业金人数,重要,2023/8/10,——,22.7万人
